TIME;ID;LINK;POSITION;DISTANCE;STATE;VEHICLE
06:39:00.00;U_B271;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
06:39:00.00;U_M1354;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
06:40:00.00;U_M881;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_B196;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_M503;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_M1356;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_B271;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_M1354;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;WALKING;
06:40:00.00;U_M877;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M635;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B161;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B497;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B272;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M1037;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M1122;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B229;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M889;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B386;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M55;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_B189;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M812;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M1328;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M794;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M824;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M116;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:00.00;U_M1302;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:40:31.27;U_B598;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_B518;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M961;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M591;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M230;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M323;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M1004;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_M1000;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:40:31.27;U_B363;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:00.00;U_B48;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M621;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M716;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B270;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M240;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B315;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M1238;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M561;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B178;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M8;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M727;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M169;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M31;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B213;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B403;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M215;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M190;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M1278;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B502;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M1099;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M404;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B157;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B364;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M164;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_B60;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M1143;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M653;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M96;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M75;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;8
06:41:00.00;U_M1021;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_B139;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M825;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1084;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1175;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1060;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1046;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1072;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1205;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M292;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M29;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M568;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1348;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1026;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_B565;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1383;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M357;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_B145;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_B567;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:00.00;U_M1373;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:41:31.27;U_M1255;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M948;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M908;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_B488;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_B264;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_B452;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M1087;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M1210;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M867;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M1115;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:31.27;U_M374;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:41:10.91;U_B48;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M621;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M716;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B270;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
